,task_name,learning_rate,num_train_epochs,max_train_steps,output_dir,hidden_dropout,train_data_frac,use_pretrain_dropout_in_first_pass,use_modded,eval_accuracy
139,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142652,0.1,0.1,False,True,0.5070422535211268
140,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142728,0.1,0.1,False,True,0.4225352112676056
141,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142828,0.1,0.1,False,False,0.4225352112676056
142,wnli,1e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142811,0.1,0.1,False,False,0.4084507042253521
143,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142755,0.1,0.1,False,False,0.49295774647887325
144,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142851,0.5,1.0,True,True,0.4647887323943662
145,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_142933,0.5,1.0,True,True,0.4788732394366197
146,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143041,0.5,1.0,True,True,0.43661971830985913
147,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143246,0.5,1.0,True,False,0.4647887323943662
148,wnli,1e-05,10,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143315,0.5,1.0,True,False,0.4507042253521127
149,wnli,1e-05,20,400,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143400,0.5,1.0,True,False,0.4647887323943662
150,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143515,0.5,0.5,True,True,0.43661971830985913
151,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143543,0.5,0.5,True,True,0.4788732394366197
152,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143625,0.5,0.5,True,True,0.4507042253521127
153,wnli,1e-05,5,50,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143737,0.5,0.5,True,False,0.4225352112676056
154,wnli,1e-05,10,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143758,0.5,0.5,True,False,0.4225352112676056
155,wnli,1e-05,20,200,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143827,0.5,0.5,True,False,0.4225352112676056
156,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143914,0.5,0.1,True,True,0.4225352112676056
157,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143953,0.5,0.1,True,True,0.4225352112676056
158,wnli,1e-05,10,20,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_143933,0.5,0.1,True,True,0.4225352112676056
159,wnli,1e-05,5,10,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_144021,0.5,0.1,True,False,0.4225352112676056
160,wnli,1e-05,5,100,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_144116,0.5,1.0,False,True,0.4507042253521127
161,wnli,1e-05,20,40,/content/drive/MyDrive/Masterarbeit/fantastic-umbrella/runs/run-20230614_144053,0.5,0.1,True,False,0.4225352112676056
