"Name","Runtime","Notes","State","Tags","beta1","beta2","catch_dropout","early_stopping_patience","evaluation_steps","insert_dropout","learning_rate","output_dir","param_config_id","seed","weight_decay","accuracy","avg_grad_diff_all_classes","avg_grad_diff_per_class","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","epoch","eval_loss","eval_p_max","eval_p_var","train_loss","train_p_max","train_p_var","train_st1_loss","train_st1_p_max","train_st2_loss","train_st2_p_max","accuracy_mm","eval_loss_mm","eval_p_max_mm","eval_p_var_mm"
"16_modded_base_sweep_01_modded/run_17","389","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_17","pcid_0495","3","0.01","0.6997986454329124","0.00016502387006767094","[0.00016502539801876992,0.0001650223566684872]","0.7054731832326561","23","192","0.6983771920204163","11","96","43","1.6265963315963743","0.9701874256134032","0.45621100068092346","","","","0.0004000134358648211","0.9995999336242676","0.0005569205968640745","0.9994434118270874","","","",""
"16_modded_base_sweep_01_modded/run_16","624","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_16","pcid_0495","2","0.01","0.7391543108182317","0.00009101920295506716","[0.00009102092735702172,0.00009101746400119735]","0.7409848068826652","47","384","0.5770940184593201","7","64","67","1.616989254951477","0.9859882593154908","0.47878631949424744","","","","0.00036268692929297686","0.9996373057365416","0.0004410473920870572","0.9995590448379515","","","",""
"16_modded_base_sweep_01_modded/run_15","873","-","finished","modded","0.9","0.999","0","10","16","0.05","0.00004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_15","pcid_0495","1","0.01","0.748306791140399","0.00004725684993900359","[0.00004725623512058519,0.00004725746839540079]","0.7494050887790591","79","640","0.5764057040214539","7","64","99","1.614085674285889","0.9825167059898376","0.4743999242782593","","","","0.00020314165158197284","0.9997968673706056","0.00024529636721126735","0.999754786491394","","","",""
"16_modded_base_sweep_01_modded/run_14","1693","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_14","pcid_0494","3","0.01","0.6754530477759473","0.0017482247203588486","[0.0017482265830039978,0.001748222508467734]","0.6754530477759473","199","1600","0.6932002305984497","31","256","199","0.9898491501808168","0.9110898971557616","0.3688199818134308","","","","0.006145735736936331","0.9938785433769226","0.007693157996982336","0.9924144744873048","","","",""
"16_modded_base_sweep_01_modded/run_13","664","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_13","pcid_0494","2","0.01","0.7318323265604979","0.0016911039128899574","[0.0016911039128899574,0.0016911040293052793]","0.7376899139666849","53","432","0.5763244032859802","21","176","73","0.8951372504234314","0.9428638815879822","0.41158604621887207","","","","0.009743851609528065","0.9903626441955566","0.011203961446881294","0.9889959096908568","","","",""
"16_modded_base_sweep_01_modded/run_12","440","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000004","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_12","pcid_0494","1","0.01","0.7188358045030203","0.004089979454874992","[0.004089979454874992,0.00408997992053628]","0.7195680029287937","29","240","0.5912323594093323","19","160","49","0.7669176459312439","0.9082777500152588","0.35328707098960876","","","","0.043394785374403","0.9648849964141846","0.04746771231293678","0.96376371383667","","","",""
"16_modded_base_sweep_01_modded/run_11","1378","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_11","pcid_0493","3","0.01","0.6884495698334249","0.0010751457884907722","[0.0010751477675512433,0.0010751438094303012]","0.690097016291415","143","1152","0.6839948892593384","19","160","163","1.3539336919784546","0.9507631063461304","0.4275019764900207","","","","0.0007230575429275632","0.9992772936820984","0.002076983684673906","0.998214602470398","","","",""
"16_modded_base_sweep_01_modded/run_10","433","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_10","pcid_0493","2","0.01","0.7321984257733846","0.0007841460173949599","[0.0007841484621167183,0.0007841435726732016]","0.7358594179022515","27","224","0.5796372294425964","15","128","47","1.012633204460144","0.9580286741256714","0.4346611201763153","","","","0.006051945965737104","0.99396812915802","0.006664176005870104","0.993360996246338","","","",""
"16_modded_base_sweep_01_modded/run_09","558","-","finished","modded","0.9","0.999","0","10","16","0.02","0.000008","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_09","pcid_0493","1","0.01","0.7241442430898773","0.0005560502177104354","[0.0005560514400713146,0.0005560489371418953]","0.7243272926963207","43","352","0.5939272046089172","13","112","63","1.0729930400848389","0.957166075706482","0.4336293339729309","","","","0.004384445026516914","0.9956254959106444","0.004778798669576645","0.9952334761619568","","","",""
"16_modded_base_sweep_01_modded/run_08","1036","-","finished","modded","0.9","0.999","0","10","16","0.02","0.00001","/home/lange/fantastic-umbrella/runs/16_modded_base_sweep_01_modded/run_08","pcid_0492","3","0.01","0.689547867472085","0.0001718765270197764","[0.0001718794519547373,0.00017187363118864596]","0.6932088596009519","103","832","0.6860284805297852","15","128","123","1.380095601081848","0.9542832374572754","0.432679146528244","","","","0.0006025377078913152","0.9993976950645448","0.000768236699514091","0.9992322325706482","","","",""
